,word1,index,probability,cumsum
139,Chvílemi,25,0.000997804829375374,0.06653362602274998
140,Chvíli,14,0.0005587707044502095,0.06709239672720019
141,Chvění,1,3.9912193175014965e-05,0.06713230892037521
142,Chyba,2,7.982438635002993e-05,0.06721213330672524
143,Chybný,1,3.9912193175014965e-05,0.06725204549990026
144,Chybu,1,3.9912193175014965e-05,0.06729195769307528
145,Chybí,9,0.0003592097385751347,0.06765116743165041
146,Chybět,1,3.9912193175014965e-05,0.06769107962482543
147,Chystají,1,3.9912193175014965e-05,0.06773099181800045
148,Chystané,1,3.9912193175014965e-05,0.06777090401117547
149,Chystá,2,7.982438635002993e-05,0.0678507283975255
150,Chystáte,51,0.002035521851925763,0.06988625024945126
151,Chytré,1,3.9912193175014965e-05,0.06992616244262628
152,Chytře,4,0.00015964877270005986,0.07008581121532634
153,Chytří,1,3.9912193175014965e-05,0.07012572340850136
154,Cit,1,3.9912193175014965e-05,0.07016563560167638
155,Citelně,4,0.00015964877270005986,0.07032528437437643
156,Citlivě,6,0.0002394731590500898,0.07056475753342653
157,Citové,1,3.9912193175014965e-05,0.07060466972660155
158,Citový,1,3.9912193175014965e-05,0.07064458191977657
159,Citově,3,0.0001197365795250449,0.07076431849930162
160,Citů,1,3.9912193175014965e-05,0.07080423069247664
161,Cizí,1,3.9912193175014965e-05,0.07084414288565166
162,Cizích,1,3.9912193175014965e-05,0.07088405507882668
163,Co,21,0.0008381560566753143,0.07172221113550199
164,Cokoli,3,0.0001197365795250449,0.07184194771502704
165,Cíl,1,3.9912193175014965e-05,0.07188185990820206
166,Cílem,1,3.9912193175014965e-05,0.07192177210137708
167,Cíleně,1,3.9912193175014965e-05,0.0719616842945521
168,Cílevědomé,2,7.982438635002993e-05,0.07204150868090213
169,Cílevědomě,1,3.9912193175014965e-05,0.07208142087407715
170,Cítili,1,3.9912193175014965e-05,0.07212133306725217
171,Cítíte,3,0.0001197365795250449,0.07224106964677722
172,Dají,7,0.00027938535222510476,0.07252045499900232
173,Dala,1,3.9912193175014965e-05,0.07256036719217734
174,Daleko,4,0.00015964877270005986,0.0727200159648774
175,Další,9,0.0003592097385751347,0.07307922570345253
176,Dalším,1,3.9912193175014965e-05,0.07311913789662755
177,Dařit,11,0.00043903412492516465,0.07355817202155271
178,Dbejte,22,0.0008780682498503293,0.07443624027140304
179,Debata,1,3.9912193175014965e-05,0.07447615246457806
180,Dech,1,3.9912193175014965e-05,0.07451606465775308
181,Definitivně,4,0.00015964877270005986,0.07467571343045314
182,Dejte,15,0.0005986828976252245,0.07527439632807836
183,Delší,4,0.00015964877270005986,0.07543404510077842
184,Demonstrativně,1,3.9912193175014965e-05,0.07547395729395344
185,Den,9,0.0003592097385751347,0.07583316703252857
186,Deprese,1,3.9912193175014965e-05,0.07587307922570359
187,Depresi,1,3.9912193175014965e-05,0.07591299141887861
188,Depresivně,1,3.9912193175014965e-05,0.07595290361205363
189,Depresí,1,3.9912193175014965e-05,0.07599281580522865
190,Dilema,3,0.0001197365795250449,0.0761125523847537
191,Diplomaticky,1,3.9912193175014965e-05,0.07615246457792872
192,Diplomatický,1,3.9912193175014965e-05,0.07619237677110374
193,Disharmonie,3,0.0001197365795250449,0.07631211335062879
194,Diskuse,1,3.9912193175014965e-05,0.07635202554380381
195,Diskusi,1,3.9912193175014965e-05,0.07639193773697883
196,Disponujete,1,3.9912193175014965e-05,0.07643184993015385
197,Divili,2,7.982438635002993e-05,0.07651167431650388
198,Divit,2,7.982438635002993e-05,0.07659149870285391
199,Divně,1,3.9912193175014965e-05,0.07663141089602893
200,Dlouho,23,0.0009179804430253443,0.07754939133905427
201,Dlouholetý,1,3.9912193175014965e-05,0.07758930353222929
202,Dlouhá,1,3.9912193175014965e-05,0.07762921572540431
203,Dlouhé,3,0.0001197365795250449,0.07774895230492936
204,Dlouhý,3,0.0001197365795250449,0.0778686888844544
205,Dnes,60,0.002394731590500898,0.0802634204749553
206,Dneska,2,7.982438635002993e-05,0.08034324486130533
207,Dnešek,26,0.0010377170225503891,0.08138096188385571
208,Dneškem,1,3.9912193175014965e-05,0.08142087407703073
209,Dnešní,19,0.0007583316703252843,0.08217920574735602
210,Dnešním,1,3.9912193175014965e-05,0.08221911794053104
211,Dnešními,1,3.9912193175014965e-05,0.08225903013370606
212,Dny,1,3.9912193175014965e-05,0.08229894232688108
213,Do,70,0.0027938535222510478,0.08509279584913212
214,Dobrou,6,0.0002394731590500898,0.08533226900818222
215,Dobrá,8,0.0003192975454001197,0.08565156655358235
216,Dobré,3,0.0001197365795250449,0.0857713031331074
217,Dobrý,5,0.00019956096587507485,0.08597086409898247
218,Dobrými,1,3.9912193175014965e-05,0.08601077629215749
219,Dobře,34,0.0013570145679505088,0.087367790860108
220,Docela,7,0.00027938535222510476,0.0876471762123331
221,Doceníte,1,3.9912193175014965e-05,0.08768708840550812
222,Dochází,1,3.9912193175014965e-05,0.08772700059868314
223,Docílíte,2,7.982438635002993e-05,0.08780682498503317
224,Dodatečný,1,3.9912193175014965e-05,0.08784673717820819
225,Dodejme,1,3.9912193175014965e-05,0.08788664937138321
226,Dodržujte,4,0.00015964877270005986,0.08804629814408327
227,Dohlédněte,1,3.9912193175014965e-05,0.08808621033725829
228,Dohoda,1,3.9912193175014965e-05,0.08812612253043331
229,Dohodnete,3,0.0001197365795250449,0.08824585910995836
230,Dohromady,1,3.9912193175014965e-05,0.08828577130313338
231,Dojde,51,0.002035521851925763,0.09032129315505914
232,Dojdete,6,0.0002394731590500898,0.09056076631410924
233,Dojdou,2,7.982438635002993e-05,0.09064059070045927
234,Dojednáváte,1,3.9912193175014965e-05,0.09068050289363429
235,Dojem,1,3.9912193175014965e-05,0.09072041508680931
236,Dokažte,1,3.9912193175014965e-05,0.09076032727998433
237,Doklady,1,3.9912193175014965e-05,0.09080023947315935
238,Dokonale,5,0.00019956096587507485,0.09099980043903443
239,Dokonce,3,0.0001197365795250449,0.09111953701855947
240,Dokončete,1,3.9912193175014965e-05,0.0911594492117345
241,Dokončit,1,3.9912193175014965e-05,0.09119936140490952
242,Dokončíte,7,0.00027938535222510476,0.09147874675713462
243,Dokud,10,0.0003991219317501497,0.09187786868888477
244,Dokážete,28,0.001117541408900419,0.09299541009778518
245,Dolehne,1,3.9912193175014965e-05,0.0930353222909602
246,Doma,53,0.0021153462382757933,0.095150668529236
247,Domluva,2,7.982438635002993e-05,0.09523049291558602
248,Domluvte,2,7.982438635002993e-05,0.09531031730193605
249,Domluvíte,4,0.00015964877270005986,0.0954699660746361
250,Domácí,4,0.00015964877270005986,0.09562961484733616
251,Domácím,1,3.9912193175014965e-05,0.09566952704051118
252,Domýšlivý,1,3.9912193175014965e-05,0.0957094392336862
253,Domů,9,0.0003592097385751347,0.09606864897226133
254,Donesou,1,3.9912193175014965e-05,0.09610856116543635
255,Donutí,2,7.982438635002993e-05,0.09618838555178638
256,Dopadne,2,7.982438635002993e-05,0.09626820993813641
257,Doplatit,1,3.9912193175014965e-05,0.09630812213131143
258,Doplatí,1,3.9912193175014965e-05,0.09634803432448645
259,Dopoledne,18,0.0007184194771502694,0.09706645380163673
260,Dopolední,2,7.982438635002993e-05,0.09714627818798675
261,Doporučený,2,7.982438635002993e-05,0.09722610257433678
262,Dopustíte,1,3.9912193175014965e-05,0.0972660147675118
263,Dopálí,4,0.00015964877270005986,0.09742566354021186
264,Dopátráte,1,3.9912193175014965e-05,0.09746557573338688
265,Dopřejte,2,7.982438635002993e-05,0.0975454001197369
266,Dorazí,1,3.9912193175014965e-05,0.09758531231291193
